,Zn,Cu,Li,Fe,Ni,NH4,SO4,NO3
4219.73419,0,0,0,0,0,0,0,0
4217.80561,0,0,0,0,0,0,0,0
4215.87703,0,0,0,0,0,0,0,0
4213.94845,0,0,0,0,0,0,0,0
4212.01987,0,0,0,0,0,0,0,0
4210.09129,0,0,0,0,0,0,0,0
4208.16271,0,0,0,0,0,0,0,0
4206.23413,0,0,0,0,0,0,0,0
4204.30555,0,1,0,0,0,0,0,0
4202.37697,0,0,0,0,0,0,0,0
4200.44839,0,0,0,0,0,0,0,0
4198.5198,0,0,0,0,0,0,0,0
4196.59122,0,0,0,0,0,0,0,0
4194.66264,0,0,0,0,0,0,0,0
4192.73406,0,0,0,0,0,0,0,0
4190.80548,0,0,0,0,0,0,0,0
4188.8769,0,0,0,0,0,0,0,0
4186.94832,0,0,0,0,0,0,0,0
4185.01974,0,0,0,0,0,0,0,0
4183.09116,0,0,0,0,0,0,0,0
4181.16258,0,0,0,0,0,0,0,0
4179.234,0,0,0,0,0,0,0,0
4177.30542,0,0,0,0,0,0,0,0
4175.37684,1,0,0,0,0,0,0,0
4173.44826,0,0,0,0,0,0,0,0
4171.51968,0,0,0,0,0,0,0,0
4169.5911,0,0,0,0,0,0,0,0
4167.66252,0,0,0,0,0,0,0,0
4165.73394,0,0,0,0,0,0,0,0
4163.80536,0,0,0,0,0,0,0,0
4161.87677,0,0,0,0,0,0,0,0
4159.94819,0,0,0,0,0,0,0,0
4158.01961,0,0,0,0,0,0,0,0
4156.09103,0,0,0,0,0,0,0,1
4154.16245,0,0,0,0,0,0,0,0
4152.23387,0,0,0,0,0,0,0,0
4150.30529,0,0,0,0,0,0,0,0
4148.37671,0,0,0,0,0,0,0,0
4146.44813,0,0,0,0,0,0,0,0
4144.51955,0,0,0,0,0,0,0,0
4142.59097,0,0,0,0,0,0,0,0
4140.66239,0,0,0,0,0,0,0,0
4138.73381,0,0,0,0,0,0,0,0
4136.80523,0,0,0,0,0,0,0,0
4134.87665,0,0,0,0,0,0,0,0
4132.94807,0,0,0,0,0,0,0,0
4131.01949,0,0,0,0,0,0,0,0
4129.09091,0,0,0,0,0,0,0,0
4127.16233,0,0,0,0,0,0,0,0
4125.23374,0,0,0,0,0,0,0,0
4123.30516,0,0,0,0,0,0,0,0
4121.37658,0,0,1,0,0,0,0,0
4119.448,0,0,0,0,0,0,0,0
4117.51942,0,0,0,0,0,0,0,0
4115.59084,0,0,0,0,0,0,0,0
4113.66226,0,0,0,0,0,0,0,0
4111.73368,0,0,0,0,0,0,0,0
4109.8051,0,0,0,0,0,0,0,0
4107.87652,0,0,0,0,0,0,0,0
4105.94794,0,0,0,0,0,0,0,0
4104.01936,0,0,0,0,0,0,0,0
4102.09078,0,0,0,0,0,0,0,0
4100.1622,0,0,0,0,0,0,0,0
4098.23362,0,0,0,0,0,0,0,0
4096.30504,0,0,0,0,0,0,0,0
4094.37646,0,0,0,0,0,0,0,0
4092.44788,0,0,0,0,0,0,0,0
4090.5193,0,0,0,0,0,0,0,0
4088.59071,0,0,0,0,0,0,0,0
4086.66213,0,0,0,0,0,0,0,0
4084.73355,0,0,0,0,0,0,0,0
4082.80497,0,0,0,0,0,0,0,0
4080.87639,0,0,0,0,0,0,0,0
4078.94781,0,0,0,0,0,0,0,0
4077.01923,0,0,0,0,0,0,0,0
4075.09065,0,0,0,0,0,0,0,0
4073.16207,0,0,0,0,0,0,0,0
4071.23349,0,0,0,0,0,0,0,0
4069.30491,0,0,0,0,0,0,0,0
4067.37633,0,0,0,0,0,0,0,0
4065.44775,0,0,0,0,0,0,0,0
4063.51917,0,0,0,0,0,1,0,0
4061.59059,0,0,0,0,0,0,0,0
4059.66201,0,0,0,0,0,0,0,0
4057.73343,0,0,0,0,0,0,0,0
4055.80485,0,0,0,0,0,0,0,0
4053.87627,0,0,0,0,0,0,0,0
4051.94768,0,0,0,0,0,0,0,0
4050.0191,0,0,0,0,0,0,0,0
4048.09052,0,0,0,0,0,0,0,0
4046.16194,0,0,0,0,0,0,0,0
4044.23336,0,0,0,0,0,0,0,0
4042.30478,0,0,0,0,0,0,0,0
4040.3762,0,0,0,0,0,0,0,0
4038.44762,0,0,0,0,0,0,0,0
4036.51904,0,0,0,0,0,0,0,0
4034.59046,0,0,0,0,0,0,0,0
4032.66188,0,0,0,0,0,0,0,0
4030.7333,0,0,0,0,0,0,0,0
4028.80472,0,0,0,0,0,0,0,0
4026.87614,0,0,0,0,0,0,0,0
4024.94756,0,0,0,0,0,0,0,0
4023.01898,0,0,0,0,0,0,0,0
4021.0904,0,0,0,0,0,0,0,0
4019.16182,0,0,0,0,0,0,0,0
4017.23324,0,0,0,0,0,0,0,0
4015.30465,0,0,0,0,0,0,0,0
4013.37607,0,0,0,0,0,0,0,0
4011.44749,0,0,0,0,0,0,0,0
4009.51891,0,0,0,0,0,0,0,0
4007.59033,0,0,0,0,0,0,0,0
4005.66175,0,0,0,0,0,0,0,0
4003.73317,0,0,0,0,0,0,0,0
4001.80459,0,0,0,0,0,0,0,0
3999.87601,0,0,0,0,0,0,0,0
3997.94743,0,0,0,0,0,0,0,0
3996.01885,0,0,0,0,0,0,0,0
3994.09027,0,0,0,0,0,0,0,0
3992.16169,0,0,0,0,0,0,0,0
3990.23311,0,0,0,0,0,0,0,0
3988.30453,0,0,0,0,0,0,0,0
3986.37595,0,0,0,0,0,0,0,0
3984.44737,0,0,0,0,0,0,0,0
3982.51879,0,0,0,0,0,0,0,0
3980.59021,0,0,0,0,0,0,0,0
3978.66162,0,0,0,0,0,0,0,0
3976.73304,0,0,0,0,0,0,0,0
3974.80446,0,0,0,0,0,0,0,0
3972.87588,0,0,0,0,0,0,0,0
3970.9473,0,0,0,0,0,0,0,0
3969.01872,0,0,0,0,0,0,0,0
3967.09014,0,0,0,0,0,0,0,0
3965.16156,0,0,0,0,0,0,0,0
3963.23298,0,0,0,0,0,0,0,0
3961.3044,0,0,0,0,0,0,0,0
3959.37582,0,0,0,0,0,0,0,0
3957.44724,0,0,0,0,0,0,0,0
3955.51866,0,0,0,0,0,0,0,0
3953.59008,0,0,0,0,0,0,0,0
3951.6615,0,0,0,0,0,0,0,0
3949.73292,0,0,0,0,0,0,0,0
3947.80434,0,0,0,0,0,0,0,0
3945.87576,0,0,0,0,0,0,0,0
3943.94718,0,0,0,0,0,0,0,0
3942.01859,0,0,0,0,0,0,0,0
3940.09001,0,0,1,0,0,0,0,0
3938.16143,0,1,0,0,0,0,0,0
3936.23285,0,0,0,0,0,0,0,0
3934.30427,0,0,0,0,0,0,0,0
3932.37569,0,0,0,0,0,0,0,0
3930.44711,0,0,0,0,0,0,0,0
3928.51853,0,0,0,1,0,0,0,0
3926.58995,0,0,0,0,0,0,0,0
3924.66137,0,0,0,0,0,0,0,0
3922.73279,0,0,0,0,0,0,0,0
3920.80421,0,0,0,0,0,0,0,0
3918.87563,0,0,0,0,0,0,0,0
3916.94705,0,0,0,0,0,0,0,0
3915.01847,0,0,0,0,0,0,0,0
3913.08989,0,0,0,0,0,0,0,0
3911.16131,0,0,0,1,0,0,0,0
3909.23273,1,0,0,0,0,0,0,1
3907.30415,0,0,0,0,0,0,0,0
3905.37556,0,0,0,0,0,0,0,0
3903.44698,0,0,0,0,0,0,0,0
3901.5184,0,0,0,0,0,0,0,0
3899.58982,0,0,0,0,0,0,0,0
3897.66124,0,0,0,0,0,0,0,0
3895.73266,0,1,0,0,0,0,0,1
3893.80408,0,0,0,0,0,0,0,0
3891.8755,0,0,0,0,0,0,0,0
3889.94692,0,0,0,0,0,0,0,0
3888.01834,0,0,0,0,0,0,0,0
3886.08976,0,0,0,0,0,0,0,0
3884.16118,0,0,0,0,0,0,0,0
