,Zn,Cu,Li,Fe,Ni,NH4,SO4,NO3
781.07511,0.09505,0.07396,0.55198,0.44514,0.43521,0.1864,0.48973,0.41045
779.14653,0.09642,0.07224,0.55332,0.43864,0.44044,0.18638,0.49504,0.40442
777.21795,0.09781,0.07063,0.55417,0.43257,0.44529,0.18626,0.49981,0.39898
775.28937,0.09993,0.06893,0.55497,0.42629,0.44985,0.18625,0.50429,0.39381
773.36079,0.10261,0.06713,0.55568,0.41954,0.45436,0.18616,0.50876,0.38848
771.43221,0.10495,0.06547,0.55642,0.41243,0.45918,0.18567,0.51345,0.38266
769.50363,0.10704,0.06432,0.55742,0.40522,0.46405,0.18492,0.51809,0.37687
767.57505,0.10916,0.06367,0.55851,0.39827,0.46842,0.18408,0.52216,0.37162
765.64647,0.11114,0.06266,0.55925,0.39158,0.47253,0.18348,0.52603,0.36637
763.71789,0.1131,0.06086,0.55983,0.38535,0.47664,0.18309,0.52999,0.36107
761.78931,0.11498,0.05895,0.56044,0.3793,0.48091,0.18263,0.53405,0.3558
759.86073,0.11713,0.058,0.5608,0.37279,0.48506,0.18176,0.53787,0.3509
757.93215,0.1201,0.05767,0.56099,0.36576,0.48905,0.18018,0.54126,0.34645
756.00357,0.12404,0.05741,0.56143,0.35844,0.49275,0.17812,0.54419,0.34232
754.07499,0.12825,0.05712,0.56227,0.35114,0.49636,0.17608,0.54701,0.33834
752.14641,0.13206,0.05629,0.56283,0.3447,0.49986,0.17419,0.54969,0.33461
750.21782,0.13478,0.0551,0.56257,0.33892,0.50351,0.17238,0.55255,0.33069
748.28924,0.13684,0.05404,0.5619,0.33222,0.50767,0.17081,0.55608,0.32567
746.36066,0.1398,0.05252,0.56126,0.32457,0.51223,0.16911,0.56004,0.32006
744.43208,0.14333,0.05038,0.56054,0.31703,0.51675,0.16742,0.56393,0.31457
742.5035,0.14629,0.04821,0.55977,0.30994,0.52105,0.16581,0.56755,0.30916
740.57492,0.14916,0.0458,0.55913,0.30329,0.52534,0.16399,0.57106,0.30392
738.64634,0.15237,0.04344,0.55833,0.29672,0.52957,0.16174,0.57444,0.29894
736.71776,0.15558,0.04184,0.55736,0.28987,0.5334,0.15939,0.57747,0.29413
734.78918,0.15861,0.04094,0.55638,0.28247,0.53688,0.15738,0.58026,0.28918
732.8606,0.16151,0.04016,0.55492,0.27471,0.54067,0.15549,0.58331,0.28406
730.93202,0.16455,0.039,0.55289,0.26667,0.54511,0.15367,0.58694,0.2787
729.00344,0.16766,0.03704,0.55097,0.25932,0.54906,0.15213,0.59016,0.27351
727.07486,0.16981,0.03487,0.54972,0.25306,0.55237,0.15068,0.59285,0.26839
725.14628,0.17099,0.03245,0.54888,0.24567,0.55672,0.14942,0.59668,0.26145
723.2177,0.17206,0.02951,0.54774,0.23622,0.56221,0.14853,0.60184,0.2524
721.28912,0.17324,0.02707,0.54572,0.22531,0.5682,0.1477,0.60764,0.2425
719.36054,0.17458,0.02552,0.54383,0.21297,0.57486,0.14676,0.61417,0.23193
717.43196,0.17575,0.02375,0.54298,0.20017,0.58182,0.1456,0.62084,0.22059
715.50338,0.177,0.02198,0.54178,0.18727,0.58827,0.14407,0.62678,0.20933
713.57479,0.17863,0.02017,0.53925,0.17405,0.59489,0.14197,0.63265,0.19821
711.64621,0.18056,0.01763,0.53608,0.16002,0.60217,0.13994,0.63925,0.18622
709.71763,0.1823,0.0142,0.53288,0.14562,0.60969,0.13837,0.64629,0.17327
707.78905,0.18433,0.00993,0.52948,0.13178,0.61679,0.137,0.65301,0.1605
705.86047,0.1877,0.00568,0.52541,0.1183,0.62324,0.13524,0.65899,0.14896
703.93189,0.19109,0.00225,0.52111,0.10529,0.62925,0.13292,0.66417,0.13842
702.00331,0.19331,0.00049,0.51675,0.0927,0.63494,0.12997,0.66863,0.12805
700.07473,0.19558,0.0036,0.51212,0.08045,0.64039,0.12657,0.67269,0.1178
698.14615,0.19882,0.00672,0.50693,0.06801,0.64497,0.12304,0.67598,0.10797
696.21757,0.20204,0.00845,0.5023,0.05535,0.64898,0.11988,0.67891,0.09865
694.28899,0.2054,0.00887,0.49838,0.04223,0.65264,0.11704,0.68166,0.08965
692.36041,0.20908,0.00934,0.49458,0.02959,0.65548,0.11464,0.68382,0.0812
690.43183,0.21278,0.0113,0.49017,0.01831,0.65875,0.11188,0.68618,0.07319
688.50325,0.21635,0.01484,0.48495,0.0079,0.66315,0.10837,0.68918,0.06515
686.57467,0.21823,0.01814,0.47984,0.00249,0.66783,0.10465,0.69244,0.05616
684.64609,0.21896,0.02096,0.47507,0.01376,0.67232,0.10135,0.69586,0.04582
682.71751,0.22204,0.02416,0.46977,0.02569,0.67602,0.09793,0.69853,0.03616
680.78893,0.22638,0.02791,0.46454,0.03637,0.67964,0.09354,0.7005,0.02819
678.86035,0.22984,0.03212,0.45881,0.04632,0.68412,0.08849,0.70293,0.02017
676.93176,0.23207,0.03571,0.45207,0.05699,0.68875,0.08411,0.70583,0.01126
675.00318,0.23352,0.03737,0.44516,0.06805,0.69238,0.08064,0.70818,0.00266
673.0746,0.23462,0.0395,0.43921,0.07645,0.69456,0.07804,0.70948,0.00434
671.14602,0.23466,0.04296,0.43314,0.08203,0.69613,0.07531,0.71023,0.0104
669.21744,0.23462,0.04444,0.42549,0.08954,0.70042,0.07017,0.71278,0.01682
667.28886,0.23798,0.04509,0.42186,0.10015,0.71025,0.06366,0.71995,0.0237
665.36028,0.24071,0.04934,0.42105,0.10696,0.71435,0.06198,0.72315,0.03013
663.4317,0.24192,0.05405,0.41754,0.11299,0.71718,0.06031,0.72548,0.03691
661.50312,0.24209,0.05894,0.41218,0.11973,0.72177,0.05735,0.7292,0.04489
